episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
193,hard,610.77,218,2,25,0,0.02,13.85,446.16,1.67,62,54,61.93
194,hard,396.71,51,2,55,0,0.02,3.41,446.88,1.68,2,30,66.67
195,hard,385.38,141,1,-40,0,0.02,9.16,442.73,1.66,21,58,55.32
196,hard,430.09,92,2,30,0,0.02,6.14,442.88,1.67,16,43,61.96
197,hard,1253.28,395,5,120,0,0.02,26.59,448.81,1.69,108,104,57.72
198,hard,394.86,52,2,45,0,0.02,4.63,447.35,1.69,6,32,69.23
199,hard,995.26,392,4,95,0,0.02,25.36,454.31,1.72,187,94,52.3
200,hard,432.54,99,2,50,0,0.02,7.43,454.27,1.72,8,33,58.59
201,hard,480.75,138,2,10,0,0.02,8.73,451.59,1.71,41,38,68.12
202,hard,179.73,45,1,5,0,0.02,2.7,450.34,1.71,13,24,71.11
203,hard,351.32,113,1,0,0,0.02,7.18,450.48,1.71,7,53,47.79
204,hard,86.57,45,0,-75,0,0.02,3.12,447.74,1.7,4,33,48.89
205,hard,222.62,42,1,0,0,0.02,3.42,445.88,1.69,4,27,57.14
206,hard,228.71,41,1,-5,0,0.02,2.41,435.34,1.66,6,27,68.29
207,hard,212.79,42,1,-15,0,0.02,2.8,433.52,1.66,6,26,71.43
208,hard,221.75,53,1,10,0,0.02,3.55,433.6,1.66,14,32,62.26
209,hard,373.47,97,1,-25,0,0.02,6.2,432.0,1.65,12,58,57.73
210,hard,345.69,93,1,-5,0,0.02,5.93,433.21,1.65,10,45,61.29
211,hard,475.79,193,1,-15,0,0.02,13.53,430.44,1.64,40,65,58.03
212,hard,317.33,154,1,-10,0,0.02,11.2,431.47,1.64,39,41,48.7
213,hard,1158.31,290,5,90,0,0.02,20.47,439.64,1.68,64,90,57.24
214,hard,356.42,53,2,50,0,0.02,3.15,438.86,1.69,8,26,64.15
215,hard,421.88,89,2,10,0,0.02,6.19,434.82,1.68,30,37,76.4
216,hard,537.08,144,2,25,0,0.02,14.4,437.66,1.69,29,61,56.94
217,hard,468.12,93,2,10,0,0.02,13.46,433.4,1.67,6,43,58.06
218,hard,261.67,74,1,0,0,0.02,8.85,433.16,1.67,12,35,55.41
219,hard,208.33,54,1,5,0,0.02,6.21,430.04,1.66,9,21,62.96
220,hard,202.2,37,1,-5,0,0.02,4.21,428.96,1.66,4,21,62.16
221,hard,471.29,92,2,50,0,0.02,8.82,428.17,1.66,18,51,66.3
222,hard,765.0,266,3,70,0,0.02,25.67,433.86,1.68,50,67,49.25
223,hard,224.51,76,1,0,0,0.02,7.75,432.92,1.68,16,28,51.32
224,hard,515.35,144,2,-5,0,0.02,13.39,432.52,1.68,19,40,59.72
225,hard,616.87,280,2,-40,0,0.02,25.32,435.62,1.69,77,52,57.5
226,hard,250.32,68,1,-15,0,0.02,6.89,434.03,1.68,7,32,52.94
227,hard,414.86,93,2,25,0,0.02,11.63,434.39,1.69,35,33,70.97
228,hard,460.53,101,2,40,0,0.02,10.59,434.51,1.69,11,39,54.46
229,hard,344.54,57,2,25,0,0.02,5.19,433.05,1.69,15,28,61.4
230,hard,679.67,238,2,25,0,0.02,21.09,436.04,1.7,47,77,53.78
231,hard,456.98,131,2,35,0,0.02,13.25,437.52,1.71,40,43,67.18
232,hard,302.65,64,1,5,0,0.02,7.29,436.84,1.71,1,41,56.25
233,hard,384.83,53,2,30,0,0.02,4.68,435.45,1.71,16,29,75.47
